age,Sr87_86Sr,CI_plus,CI_minus
18.20,0.708557,0.708564,0.708550
18.25,0.708552,0.708559,0.708545
18.30,0.708548,0.708555,0.708541
18.35,0.708543,0.708551,0.708536
18.40,0.708539,0.708546,0.708532
18.45,0.708535,0.708542,0.708527
18.50,0.708530,0.708538,0.708523
18.55,0.708526,0.708533,0.708519
18.60,0.708522,0.708529,0.708514
18.65,0.708517,0.708525,0.708510
18.70,0.708513,0.708521,0.708506
18.75,0.708509,0.708517,0.708502
18.80,0.708505,0.708512,0.708497
18.85,0.708501,0.708508,0.708493
18.90,0.708497,0.708505,0.708489
18.95,0.708493,0.708501,0.708485
19.00,0.708489,0.708497,0.708481
19.05,0.708485,0.708493,0.708477
19.10,0.708481,0.708489,0.708473
19.15,0.708477,0.708485,0.708469
19.20,0.708473,0.708481,0.708465
19.25,0.708469,0.708477,0.708461
19.30,0.708465,0.708473,0.708457
19.35,0.708461,0.708470,0.708453
19.40,0.708458,0.708466,0.708449
19.45,0.708454,0.708463,0.708446
19.50,0.708451,0.708460,0.708443
19.55,0.708448,0.708456,0.708439
19.60,0.708445,0.708453,0.708436
19.65,0.708442,0.708450,0.708433
19.70,0.708439,0.708447,0.708430
19.75,0.708436,0.708444,0.708427
19.80,0.708433,0.708441,0.708425
19.85,0.708430,0.708438,0.708422
19.90,0.708427,0.708436,0.708419
19.95,0.708424,0.708433,0.708416
20.00,0.708422,0.708431,0.708413
20.05,0.708419,0.708428,0.708410
20.10,0.708416,0.708426,0.708407
20.15,0.708413,0.708423,0.708404
20.20,0.708411,0.708420,0.708401
20.25,0.708408,0.708418,0.708398
20.30,0.708405,0.708415,0.708395
20.35,0.708402,0.708412,0.708392
20.40,0.708400,0.708410,0.708390
20.45,0.708397,0.708407,0.708387
20.50,0.708394,0.708404,0.708385
20.55,0.708392,0.708401,0.708382
20.60,0.708389,0.708398,0.708380
20.65,0.708387,0.708396,0.708378
20.70,0.708384,0.708393,0.708375
20.75,0.708382,0.708390,0.708373
20.80,0.708379,0.708388,0.708371
20.85,0.708377,0.708385,0.708368
20.90,0.708374,0.708383,0.708366
20.95,0.708372,0.708380,0.708363
21.00,0.708369,0.708378,0.708361
21.05,0.708366,0.708375,0.708358
21.10,0.708364,0.708372,0.708355
21.15,0.708361,0.708370,0.708352
21.20,0.708358,0.708367,0.708350
21.25,0.708355,0.708364,0.708347
21.30,0.708352,0.708361,0.708344
21.35,0.708349,0.708358,0.708341
21.40,0.708346,0.708354,0.708338
21.45,0.708343,0.708351,0.708335
21.50,0.708340,0.708348,0.708332
21.55,0.708337,0.708345,0.708329
21.60,0.708334,0.708342,0.708326
21.65,0.708331,0.708338,0.708323
21.70,0.708327,0.708335,0.708320
21.75,0.708324,0.708332,0.708317
21.80,0.708321,0.708329,0.708314
21.85,0.708319,0.708327,0.708311
21.90,0.708316,0.708324,0.708308
21.95,0.708313,0.708321,0.708305
22.00,0.708310,0.708318,0.708302
22.05,0.708307,0.708315,0.708299
22.10,0.708304,0.708312,0.708297
22.15,0.708301,0.708309,0.708294
22.20,0.708298,0.708306,0.708291
22.25,0.708296,0.708303,0.708288
22.30,0.708293,0.708300,0.708285
22.35,0.708290,0.708298,0.708282
22.40,0.708287,0.708295,0.708279
22.45,0.708284,0.708292,0.708277
22.50,0.708282,0.708290,0.708274
22.55,0.708279,0.708287,0.708271
22.60,0.708276,0.708284,0.708268
22.65,0.708274,0.708282,0.708266
22.70,0.708271,0.708279,0.708263
22.75,0.708269,0.708277,0.708261
22.80,0.708266,0.708274,0.708258
22.85,0.708264,0.708272,0.708256
22.90,0.708262,0.708269,0.708254
22.95,0.708259,0.708267,0.708252
23.00,0.708257,0.708265,0.708249
23.05,0.708255,0.708262,0.708247
23.10,0.708252,0.708260,0.708245
23.15,0.708250,0.708258,0.708242
23.20,0.708247,0.708255,0.708240
23.25,0.708245,0.708253,0.708237
23.30,0.708242,0.708250,0.708234
23.35,0.708240,0.708248,0.708232
23.40,0.708237,0.708245,0.708229
23.45,0.708234,0.708242,0.708226
23.50,0.708232,0.708239,0.708224
23.55,0.708229,0.708237,0.708221
23.60,0.708226,0.708234,0.708218
23.65,0.708224,0.708231,0.708216
23.70,0.708221,0.708229,0.708213
23.75,0.708218,0.708226,0.708210
23.80,0.708216,0.708224,0.708208
23.85,0.708213,0.708221,0.708205
23.90,0.708210,0.708218,0.708202
23.95,0.708207,0.708216,0.708199
